Jednostka;Epoka;Ruch;Widok pola (nowy);Uwagi
Falanga;Brąz;1;1;
Katapulta;Żelazo;1;1;
Taran;Kamień;1;1;
Wieża oblężnicza;Brąz;1;1;
Gwardia Królewska Sumeru;Brąz;2;2;
Halabardnik Shang;Brąz;2;2;
Hastati;Żelazo;2;2;
Hieros Lochos (Święty Zastęp);Brąz;2;2;
Kusznik;Średniowiecze;2;2;
Łucznik;Kamień;2;2;
Łucznik akadyjski;Brąz;2;2;
Łucznik egipski;Kamień;2;2;
Łucznik sumeryjski;Kamień;2;2;
Oszczepnik;Kamień;2;2;
Oszczepnik (Estólica);Kamień;2;2;
Oszczepnik Zulu (Izijula);Kamień;2;2;
Procarz;Brąz;2;2;
Procarz (Huaracoc);Brąz;2;2;
Triari;Żelazo;2;2;
Włócznik;Brąz;2;2;
Włócznik sumeryjski;Brąz;2;2;
Wojownik;Kamień;2;2;
Wojownik celtycki;Żelazo;2;2;
Wojownik mykeński;Brąz;2;2;
Wojownik Sherden;Brąz;2;2;
Wojownik szekelesz;Brąz;2;2;
Wojownik tyrreński;Brąz;2;2;
Wojownik z khopesh;Brąz;2;2;
Wojownik z mieczem i tarczą;Brąz;2;2;
Wojownik z toporem;Brąz;2;2;
Berserker germański;Żelazo;3;3;
Gaesatae;Żelazo;3;3;
Hu Ben Wei (Gwardia Tygrysa);Brąz;3;3;
Królewska Gwardia;Brąz;3;3;
Medżaj (Gwardia Faraona);Brąz;3;3;
Rydwan (woły);Brąz;3;3;
Wojownik germański;Żelazo;3;3;
Wojownik z maczugą (Chaska);Kamień;3;3;
Zwiadowca;Kamień;3;5;bonus min.5
Galera;Brąz;4;4;
Impi;Brąz;4;4;
Jeździec chiński;Brąz;4;4;
Konnica;Brąz;4;4;
Rydwan celtycki;Żelazo;4;4;
Rydwan konny;Brąz;4;4;
Rydwan mykeński;Brąz;4;4;
Rydwan Shang;Brąz;4;4;
Rydwan sumeryjski;Brąz;4;4;
uThulwana (Białe Tarcze);Brąz;4;4;
Rydwan egipski;Brąz;5;5;
