gate	exit_code	classification
building_epoch	0	required
unit_sort	0	required
logic	0	required
upkeep	0	required
building_cost_tempo	0	required
building_queue_refund	0	required
unit_replace	0	required
r_stawki_fala2	0	relevant
koszty_surowcowe	1	relevant
rekrutacja_koszty	0	relevant
era_improvement	0	relevant
unit_power_baseline_note	1	known-baseline
syntax_building_test	0	syntax
syntax_unit_sort_test	0	syntax
typecheck	0	required
diff_check	0	required
diff_check_worktree	0	required
vite_build	0	required
