nieb/bron/osiagalnosc/raidReady/trudnosc | PRZED -> PO | bit-identyczne?
--------------------------------------------------------------------------------------------------------------
0/0/OSIAG/raid/easy                | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/0/OSIAG/raid/normal              | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/0/OSIAG/raid/hard                | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/0/OSIAG/obóz/easy                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/0/OSIAG/obóz/normal              | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/0/OSIAG/obóz/hard                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/1/OSIAG/raid/easy                | dociera@39 [idle 0/40]         -> dociera@39 [idle 0/40]         | TAK
0/1/OSIAG/raid/normal              | dociera@39 [idle 0/40]         -> dociera@39 [idle 0/40]         | TAK
0/1/OSIAG/raid/hard                | dociera@39 [idle 0/40]         -> dociera@39 [idle 0/40]         | TAK
0/1/OSIAG/obóz/easy                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/1/OSIAG/obóz/normal              | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/1/OSIAG/obóz/hard                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/1/NIEOS/raid/easy                | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/1/NIEOS/raid/normal              | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/1/NIEOS/raid/hard                | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/1/NIEOS/obóz/easy                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/1/NIEOS/obóz/normal              | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/1/NIEOS/obóz/hard                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/2/OSIAG/raid/easy                | dociera@39 [idle 0/40]         -> dociera@39 [idle 0/40]         | TAK
0/2/OSIAG/raid/normal              | dociera@39 [idle 0/40]         -> dociera@39 [idle 0/40]         | TAK
0/2/OSIAG/raid/hard                | dociera@39 [idle 0/40]         -> dociera@39 [idle 0/40]         | TAK
0/2/OSIAG/obóz/easy                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/2/OSIAG/obóz/normal              | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/2/OSIAG/obóz/hard                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/2/NIEOS/raid/easy                | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/2/NIEOS/raid/normal              | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/2/NIEOS/raid/hard                | ZAMROZENIE 0-komend [idle 300/300] -> ZAMROZENIE 0-komend [idle 300/300] | TAK
0/2/NIEOS/obóz/easy                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/2/NIEOS/obóz/normal              | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
0/2/NIEOS/obóz/hard                | stoi/bezczynna [idle 299/300]  -> stoi/bezczynna [idle 299/300]  | TAK
1/0/OSIAG/raid/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/0/OSIAG/raid/normal              | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/0/OSIAG/raid/hard                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/0/OSIAG/obóz/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/0/OSIAG/obóz/normal              | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/0/OSIAG/obóz/hard                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/1/OSIAG/raid/easy                | stoi/bezczynna [idle 0/300]    -> dociera@46 [idle 0/47]         | nie
1/1/OSIAG/raid/normal              | dociera@46 [idle 0/47]         -> dociera@46 [idle 0/47]         | TAK
1/1/OSIAG/raid/hard                | dociera@46 [idle 0/47]         -> dociera@46 [idle 0/47]         | TAK
1/1/OSIAG/obóz/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/1/OSIAG/obóz/normal              | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/1/OSIAG/obóz/hard                | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/1/NIEOS/raid/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/1/NIEOS/raid/normal              | stoi/bezczynna [idle 296/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/1/NIEOS/raid/hard                | stoi/bezczynna [idle 296/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/1/NIEOS/obóz/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/1/NIEOS/obóz/normal              | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/1/NIEOS/obóz/hard                | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/2/OSIAG/raid/easy                | stoi/bezczynna [idle 0/300]    -> dociera@46 [idle 0/47]         | nie
1/2/OSIAG/raid/normal              | dociera@46 [idle 0/47]         -> dociera@46 [idle 0/47]         | TAK
1/2/OSIAG/raid/hard                | dociera@46 [idle 0/47]         -> dociera@46 [idle 0/47]         | TAK
1/2/OSIAG/obóz/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
