civ_id	civilization	tier	param_id	domain	unit	declared_module	formula	raw_current	default	non_default	value_status	default_relation	provenance	value_source	historical_status	historical_source	consumer_status	easy_effective	normal_effective	hard_effective	difficulty_policy	effective_formula	direction	live_call_site	copied_from_greece
rzymianie	Rzymianie	1	meta_epoka_kamien	meta	flag_0_1	start-preview.ts	flag	1	0	true	CURRENT_RUNTIME_DATA	NON_DEFAULT_OVERRIDE	CURRENT_RUNTIME_DATA	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/meta_epoka_kamien	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		1		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	meta_epoka_braz	meta	flag_0_1	start-preview.ts	flag	1	0	true	CURRENT_RUNTIME_DATA	NON_DEFAULT_OVERRIDE	CURRENT_RUNTIME_DATA	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/meta_epoka_braz	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		1		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	meta_epoka_zelazo	meta	flag_0_1	start-preview.ts	flag	1	0	true	CURRENT_RUNTIME_DATA	NON_DEFAULT_OVERRIDE	CURRENT_RUNTIME_DATA	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/meta_epoka_zelazo	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		1		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	meta_mnoznik_waluta	meta	absolut	economy.ts	mul_abs	2	2	false	CURRENT_RUNTIME_DATA	DEFAULT_VALUE	CURRENT_RUNTIME_DEFAULT	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/meta_mnoznik_waluta	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		2		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	meta_tier_roster	meta	absolut	civ-roster.ts	mul_abs	1	1	false	CURRENT_RUNTIME_DATA	DEFAULT_VALUE	CURRENT_RUNTIME_DEFAULT	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/meta_tier_roster	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		1		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	walka_atak_piechota	walka	ulamek	civ-bonuses.ts	mul_proc	0.15	0	true	CURRENT_RUNTIME_DATA	NON_DEFAULT_OVERRIDE	CURRENT_RUNTIME_DATA	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/walka_atak_piechota	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		0.15		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	walka_atak_lukownicy	walka	ulamek	civ-bonuses.ts	mul_proc	0	0	false	CURRENT_RUNTIME_DATA	DEFAULT_VALUE	CURRENT_RUNTIME_DEFAULT	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/walka_atak_lukownicy	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	UNWIRED		0		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	walka_atak_kawaleria	walka	ulamek	civ-bonuses.ts	mul_proc	0	0	false	CURRENT_RUNTIME_DATA	DEFAULT_VALUE	CURRENT_RUNTIME_DEFAULT	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/walka_atak_kawaleria	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		0		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	walka_atak_rydwany	walka	ulamek	civ-bonuses.ts	mul_proc	0	0	false	CURRENT_RUNTIME_DATA	DEFAULT_VALUE	CURRENT_RUNTIME_DEFAULT	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/walka_atak_rydwany	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		0		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
rzymianie	Rzymianie	1	walka_atak_obleczenie	walka	ulamek	civ-bonuses.ts	mul_proc	0	0	false	CURRENT_RUNTIME_DATA	DEFAULT_VALUE	CURRENT_RUNTIME_DEFAULT	gra/data/civ-matrix.json#/cywilizacje[typCywilizacji=rzymianie]/params/walka_atak_obleczenie	LEGACY_DOC_PRESENT	docs/encyklopedia/cywilizacje/rzymianie.md	DEAD_UNWIRED		0		NOT_ACTIVE	not computed by current consumer; retain raw Normal data	not applicable until a consumer is wired and reviewed	gra/src/game/civ-matrix.ts:41-60,71-101 (loader/accessor only); no gameplay call-site found	false
